omr;Baba
København;7
Frederiksberg;23
Dragør;0
Tårnby;0
Albertslund;0
Ballerup ;12
Brøndby;0
Gentofte;0
Gladsaxe;0
Glostrup;0
Herlev;0
Hvidovre;0
Høje-Taastrup;23
Ishøj;29
Lyngby-Taarbæk;0
Rødovre;0
Vallensbæk;0
Allerød;0
Egedal;0
Fredensborg;6
Frederikssund;0
Furesø;0
Gribskov;0
Halsnæs;0
Helsingør;0
Hillerød;0
Hørsholm;0
Rudersdal;0
Bornholm;0
Greve;0
Køge;0
Lejre;0
Roskilde;0
Solrød;0
Faxe;0
Guldborgsund;0
Holbæk;0
Kalundborg;0
Lolland;0
Næstved;0
Odsherred;0
Ringsted;0
Slagelse;0
Sorø;0
Stevns;0
Vordingborg;0
Assens;0
Faaborg-Midtfyn;0
Kerteminde;0
Langeland;0
Middelfart;0
Nordfyns;0
Nyborg;0
Odense;5
Svendborg;0
Ærø;0
Billund;0
Esbjerg;0
Fanø;0
Fredericia;0
Haderslev;0
Kolding;0
Sønderborg;11
Tønder;0
Varde;0
Vejen;0
Vejle;0
Aabenraa;0
Favrskov;0
Hedensted;0
Horsens;0
Norddjurs;0
Odder;0
Randers;0
Samsø;0
Silkeborg;0
Skanderborg;0
Syddjurs;0
Aarhus;14
Herning;0
Holstebro;0
Ikast-Brande;0
Lemvig;0
Ringkøbing-Skjern;0
Skive;0
Struer;0
Viborg;0
Brønderslev;0
Frederikshavn;0
Hjørring;0
Jammerbugt;0
Læsø;0
Mariagerfjord;0
Morsø;0
Rebild;0
Thisted;0
Vesthimmerlands;0
Aalborg;0
