Indeks;omr;Baba_Bydelsmor
86;Struer;3
61;Haderslev;3
58;Esbjerg;3
79;Aarhus;2
87;Viborg;2
63;Sønderborg;2
54;Odense;2
1;København;2
14;Ishøj;2
13;Høje-Taastrup;2
2;Frederiksberg;2
20;Fredensborg;2
6;Ballerup;2
98;Aalborg;1
46;Vordingborg;1
67;Vejle;1
4;Tårnby;1
43;Slagelse;1
77;Skanderborg;1
76;Silkeborg;1
16;Rødovre;1
33;Roskilde;1
42;Ringsted;1
84;Ringkøbing-Skjern;1
74;Randers;1
93;Mariagerfjord;1
31;Køge;1
82;Ikast-Brande;1
12;Hvidovre;1
81;Holstebro;1
37;Holbæk;1
26;Hillerød;1
80;Herning;1
25;Helsingør;1
36;Guldborgsund;1
9;Gladsaxe;1
22;Furesø;1
89;Frederikshavn;1
88;Brønderslev;1
29;Bornholm;1
5;Albertslund;1
68;Aabenraa;0
56;Ærø;0
97;Vesthimmerlands;0
66;Vejen;0
65;Varde;0
17;Vallensbæk;0
64;Tønder;0
96;Thisted;0
78;Syddjurs;0
55;Svendborg;0
45;Stevns;0
44;Sorø;0
34;Solrød;0
85;Skive;0
75;Samsø;0
28;Rudersdal;0
95;Rebild;0
41;Odsherred;0
73;Odder;0
40;Næstved;0
53;Nyborg;0
52;Nordfyns;0
72;Norddjurs;0
94;Morsø;0
51;Middelfart;0
92;Læsø;0
15;Lyngby-Taarbæk;0
39;Lolland;0
83;Lemvig;0
32;Lejre;0
50;Langeland;0
62;Kolding;0
49;Kerteminde;0
38;Kalundborg;0
91;Jammerbugt;0
27;Hørsholm;0
71;Horsens;0
90;Hjørring;0
11;Herlev;0
70;Hedensted;0
24;Halsnæs;0
23;Gribskov;0
30;Greve;0
10;Glostrup;0
8;Gentofte;0
48;Faaborg-Midtfyn;0
21;Frederikssund;0
60;Fredericia;0
35;Faxe;0
69;Favrskov;0
59;Fanø;0
19;Egedal;0
3;Dragør;0
7;Brøndby;0
57;Billund;0
47;Assens;0
18;Allerød;0
