omr;Baba_Bydelsmor
København;2
Frederiksberg;2
Dragør;0
Tårnby;1
Albertslund;1
Ballerup;2
Brøndby;0
Gentofte;0
Gladsaxe;1
Glostrup;1
Herlev;0
Hvidovre;1
Høje-Taastrup;2
Ishøj;2
Lyngby-Taarbæk;0
Rødovre;1
Vallensbæk;0
Allerød;0
Egedal;0
Fredensborg;2
Frederikssund;0
Furesø;1
Gribskov;0
Halsnæs;0
Helsingør;1
Hillerød;1
Hørsholm;0
Rudersdal;0
Bornholm;1
Greve;0
Køge;1
Lejre;0
Roskilde;1
Solrød;0
Faxe;0
Guldborgsund;1
Holbæk;1
Kalundborg;0
Lolland;0
Næstved;0
Odsherred;0
Ringsted;1
Slagelse;1
Sorø;0
Stevns;0
Vordingborg;0
Assens;0
Faaborg-Midtfyn;0
Kerteminde;0
Langeland;0
Middelfart;0
Nordfyns;0
Nyborg;0
Odense;2
Svendborg;0
Ærø;0
Billund;0
Esbjerg;0
Fanø;0
Fredericia;0
Haderslev;0
Kolding;0
Sønderborg;2
Tønder;0
Varde;0
Vejen;0
Vejle;1
Aabenraa;0
Favrskov;0
Hedensted;0
Horsens;0
Norddjurs;0
Odder;0
Randers;1
Samsø;0
Silkeborg;1
Skanderborg;1
Syddjurs;0
Aarhus;2
Herning;1
Holstebro;1
Ikast-Brande;1
Lemvig;0
Ringkøbing-Skjern;1
Skive;0
Struer;0
Viborg;2
Brønderslev;1
Frederikshavn;1
Hjørring;0
Jammerbugt;0
Læsø;0
Mariagerfjord;1
Morsø;0
Rebild;0
Thisted;0
Vesthimmerlands;0
Aalborg;1
